mass_A
t	x	y
0.000000000E0	8.651213101E-3	6.216932573E-1
1.000000000E-2	1.210759268E-2	6.189518971E-1
2.000000000E-2	1.767528654E-2	6.153228130E-1
3.000000000E-2	2.119590385E-2	6.123211209E-1
4.000000000E-2	2.635187395E-2	6.087078480E-1
5.000000000E-2	3.168885803E-2	6.048619178E-1
6.000000000E-2	3.713789116E-2	6.009359000E-1
7.000000000E-2	4.306868423E-2	5.969916174E-1
8.000000000E-2	4.930652432E-2	5.930243391E-1
9.000000000E-2	5.720500053E-2	5.882115168E-1
1.000000000E-1	6.346805144E-2	5.840930960E-1
1.100000000E-1	7.098004155E-2	5.790545480E-1
1.200000000E-1	7.757193263E-2	5.748062269E-1
1.300000000E-1	8.576126274E-2	5.695968170E-1
1.400000000E-1	9.443354463E-2	5.646688428E-1
1.500000000E-1	1.035683829E-1	5.593682055E-1
1.600000000E-1	1.132453616E-1	5.542860063E-1
1.700000000E-1	1.232742145E-1	5.491457187E-1
1.800000000E-1	1.304629445E-1	5.447715232E-1
1.900000000E-1	1.407941463E-1	5.397757430E-1
2.000000000E-1	1.514448514E-1	5.346970317E-1
2.100000000E-1	1.622210721E-1	5.294951856E-1
2.200000000E-1	1.715572145E-1	5.253300675E-1
2.300000000E-1	1.823685958E-1	5.202750891E-1
2.400000000E-1	1.946242601E-1	5.151570709E-1
2.500000000E-1	2.069803474E-1	5.099446993E-1
2.600000000E-1	2.178628624E-1	5.060123586E-1
2.700000000E-1	2.291891541E-1	5.019738471E-1
2.800000000E-1	2.401165255E-1	4.978648240E-1
2.900000000E-1	2.517017545E-1	4.938537136E-1
3.000000000E-1	2.642969496E-1	4.900360400E-1
3.100000000E-1	2.775731610E-1	4.862030876E-1
3.200000000E-1	2.876199221E-1	4.833895354E-1
3.300000000E-1	3.020700545E-1	4.796736047E-1
3.400000000E-1	3.134993893E-1	4.768101723E-1
3.500000000E-1	3.250695528E-1	4.740925146E-1
3.600000000E-1	3.378548159E-1	4.714581560E-1
3.700000000E-1	3.507039797E-1	4.688706775E-1
3.800000000E-1	3.639621643E-1	4.664234029E-1
3.900000000E-1	3.762270096E-1	4.647788194E-1
4.000000000E-1	3.880973217E-1	4.632280383E-1
4.100000000E-1	3.996849204E-1	4.615364156E-1
4.200000000E-1	4.127483770E-1	4.603977473E-1
4.300000000E-1	4.261305241E-1	4.591069049E-1
4.400000000E-1	4.392842673E-1	4.577942992E-1
4.500000000E-1	4.527338105E-1	4.565631922E-1
4.600000000E-1	4.655478510E-1	4.562103031E-1
4.700000000E-1	4.788265586E-1	4.553193024E-1
4.800000000E-1	4.920053013E-1	4.549673350E-1
4.900000000E-1	5.053870310E-1	4.547909676E-1
5.000000000E-1	5.177832061E-1	4.548325292E-1
5.100000000E-1	5.305789003E-1	4.556862405E-1
5.200000000E-1	5.437737581E-1	4.562121190E-1
5.300000000E-1	5.565998543E-1	4.569475028E-1
5.400000000E-1	5.691326221E-1	4.580129468E-1
5.500000000E-1	5.819718804E-1	4.594268075E-1
5.600000000E-1	5.941706536E-1	4.606463746E-1
5.700000000E-1	6.063463515E-1	4.627192862E-1
5.800000000E-1	6.191725126E-1	4.650898264E-1
5.900000000E-1	6.308352491E-1	4.677530612E-1
6.000000000E-1	6.415019656E-1	4.704072660E-1
6.100000000E-1	6.536086554E-1	4.738910035E-1
6.200000000E-1	6.653600844E-1	4.774442390E-1
6.300000000E-1	6.750330211E-1	4.807912965E-1
6.400000000E-1	6.861210217E-1	4.838790131E-1
6.500000000E-1	6.974087100E-1	4.876706251E-1
6.600000000E-1	7.075823863E-1	4.913276032E-1
6.700000000E-1	7.178165785E-1	4.950399711E-1
6.800000000E-1	7.262143196E-1	4.979001245E-1
6.900000000E-1	7.363216891E-1	5.014680837E-1
7.000000000E-1	7.453568070E-1	5.051924274E-1
7.100000000E-1	7.540941343E-1	5.087775140E-1
7.200000000E-1	7.633622022E-1	5.122050169E-1
7.300000000E-1	7.715168012E-1	5.151838221E-1
7.400000000E-1	7.808970867E-1	5.186912808E-1
7.500000000E-1	7.887928048E-1	5.213489420E-1
7.600000000E-1	7.965067575E-1	5.238696219E-1
7.700000000E-1	8.044572250E-1	5.263771049E-1
7.800000000E-1	8.125075203E-1	5.289290673E-1
7.900000000E-1	8.201196816E-1	5.314166380E-1
8.000000000E-1	8.275162753E-1	5.337850520E-1
8.100000000E-1	8.352052009E-1	5.360660249E-1
8.200000000E-1	8.415399290E-1	5.377542055E-1
8.300000000E-1	8.489589203E-1	5.399351229E-1
8.400000000E-1	8.554115870E-1	5.415699397E-1
8.500000000E-1	8.620711208E-1	5.437581906E-1
8.600000000E-1	8.681513721E-1	5.451898156E-1
8.700000000E-1	8.749381801E-1	5.472568136E-1
8.800000000E-1	8.807813109E-1	5.487920486E-1
8.900000000E-1	8.872656124E-1	5.503527861E-1
9.000000000E-1	8.941236503E-1	5.521029340E-1
