mass_A
t	x	y	v
0.000000000E0	-3.172031395E-3	6.330814886E-1	0.000000000E0
1.000000000E-2	5.419480233E-4	6.303958454E-1	5.520627462E-1
2.000000000E-2	5.798943368E-3	6.266448029E-1	5.554069473E-1
3.000000000E-2	9.538389114E-3	6.238801107E-1	5.515989800E-1
4.000000000E-2	1.459872798E-2	6.199913553E-1	6.586712534E-1
5.000000000E-2	2.026625717E-2	6.162347216E-1	6.798173119E-1
6.000000000E-2	2.567267574E-2	6.121028630E-1	6.805469351E-1
7.000000000E-2	3.125709774E-2	6.082060806E-1	6.888527643E-1
8.000000000E-2	3.689608436E-2	6.041127221E-1	7.871708659E-1
9.000000000E-2	4.423412006E-2	5.992924910E-1	8.034730644E-1
1.000000000E-1	5.009394484E-2	5.949451671E-1	8.258430285E-1
1.100000000E-1	5.775428027E-2	5.898050282E-1	8.475119851E-1
1.200000000E-1	6.424991022E-2	5.856221166E-1	8.629695536E-1
1.300000000E-1	7.230214890E-2	5.805181504E-1	9.774627609E-1
1.400000000E-1	8.086354284E-2	5.753186904E-1	1.010022788E0
1.500000000E-1	8.959214433E-2	5.700723631E-1	1.027694764E0
1.600000000E-1	9.853413317E-2	5.648204597E-1	1.053052537E0
1.700000000E-1	1.079015654E-1	5.596640511E-1	1.059666092E0
1.800000000E-1	1.170162549E-1	5.544489570E-1	1.082439190E0
1.900000000E-1	1.267421487E-1	5.490009249E-1	1.140906270E0
2.000000000E-1	1.371653632E-1	5.437400690E-1	1.190845528E0
2.100000000E-1	1.480460815E-1	5.383525601E-1	1.066335891E0
2.200000000E-1	1.562963183E-1	5.343148132E-1	1.088219220E0
2.300000000E-1	1.677402877E-1	5.290882914E-1	1.223665529E0
2.400000000E-1	1.784262568E-1	5.238645140E-1	1.108159492E0
2.500000000E-1	1.877803206E-1	5.196223492E-1	1.221969646E0
2.600000000E-1	2.010260801E-1	5.145622608E-1	1.271884606E0
2.700000000E-1	2.114788724E-1	5.103781713E-1	1.251084035E0
2.800000000E-1	2.242461735E-1	5.052396128E-1	1.291915058E0
2.900000000E-1	2.355881866E-1	5.010852291E-1	1.219778706E0
3.000000000E-1	2.472413958E-1	4.970932154E-1	1.285965468E0
3.100000000E-1	2.600386256E-1	4.931065759E-1	1.334098167E0
3.200000000E-1	2.727091990E-1	4.891359442E-1	1.209537810E0
3.300000000E-1	2.832371452E-1	4.862493627E-1	1.227971177E0
3.400000000E-1	2.963058598E-1	4.823269147E-1	1.284458927E0
3.500000000E-1	3.079957883E-1	4.793978310E-1	1.221611191E0
3.600000000E-1	3.200764823E-1	4.766796967E-1	1.280533653E0
3.700000000E-1	3.330431015E-1	4.740556705E-1	1.327852715E0
3.800000000E-1	3.460743105E-1	4.712584368E-1	1.319775337E0
3.900000000E-1	3.588751512E-1	4.686309143E-1	1.349426268E0
4.000000000E-1	3.725870618E-1	4.662131891E-1	1.334853964E0
4.100000000E-1	3.852165485E-1	4.642875474E-1	1.250792185E0
4.200000000E-1	3.973709326E-1	4.628143394E-1	1.269328917E0
4.300000000E-1	4.104140116E-1	4.611946186E-1	1.310798629E0
4.400000000E-1	4.234161973E-1	4.598274668E-1	1.314625350E0
4.500000000E-1	4.365590559E-1	4.584138661E-1	1.348554205E0
4.600000000E-1	4.502650604E-1	4.572627195E-1	1.362806581E0
4.700000000E-1	4.637593216E-1	4.566696597E-1	1.369953701E0
4.800000000E-1	4.776058949E-1	4.554772156E-1	1.335091593E0
4.900000000E-1	4.904160842E-1	4.551189073E-1	1.304264087E0
5.000000000E-1	5.036820584E-1	4.547875643E-1	1.334918171E0
5.100000000E-1	5.171130904E-1	4.548497036E-1	1.294055501E0
5.200000000E-1	5.295541664E-1	4.554701246E-1	1.271954083E0
5.300000000E-1	5.425307352E-1	4.558938349E-1	1.295109773E0
5.400000000E-1	5.554220236E-1	4.568034258E-1	1.279136060E0
5.500000000E-1	5.680426643E-1	4.577957015E-1	1.275347190E0
5.600000000E-1	5.808299357E-1	4.590489071E-1	1.291567680E0
5.700000000E-1	5.937433464E-1	4.603906525E-1	1.292265475E0
5.800000000E-1	6.064570596E-1	4.624001070E-1	1.272689073E0
5.900000000E-1	6.188377938E-1	4.646525413E-1	1.268821482E0
6.000000000E-1	6.313498856E-1	4.673306644E-1	1.201309832E0
6.100000000E-1	6.422560653E-1	4.700230798E-1	1.169255503E0
6.200000000E-1	6.539437256E-1	4.733623944E-1	1.224405303E0
6.300000000E-1	6.657754408E-1	4.768426337E-1	1.204057885E0
6.400000000E-1	6.769062112E-1	4.806168005E-1	1.101422059E0
6.500000000E-1	6.868027500E-1	4.834080346E-1	1.057605304E0
6.600000000E-1	6.970560383E-1	4.870507776E-1	1.128537851E0
6.700000000E-1	7.081349183E-1	4.907821562E-1	1.129943763E0
6.800000000E-1	7.184000873E-1	4.944764584E-1	1.065648847E0
6.900000000E-1	7.281958861E-1	4.979794167E-1	1.045872604E0
7.000000000E-1	7.380672735E-1	5.015997714E-1	1.048928202E0
7.100000000E-1	7.478117410E-1	5.054170495E-1	9.723870449E-1
7.200000000E-1	7.562689960E-1	5.084489996E-1	9.231440844E-1
7.300000000E-1	7.651988905E-1	5.116271246E-1	9.046564871E-1
7.400000000E-1	7.733457020E-1	5.144279170E-1	9.119132801E-1
7.500000000E-1	7.824378496E-1	5.175813351E-1	9.079756248E-1
7.600000000E-1	7.904666291E-1	5.204811599E-1	8.456391698E-1
7.700000000E-1	7.984693786E-1	5.229694999E-1	8.403510234E-1
7.800000000E-1	8.065090223E-1	5.254929020E-1	8.409876356E-1
7.900000000E-1	8.145484128E-1	5.279059705E-1	8.486461575E-1
8.000000000E-1	8.227660529E-1	5.303703065E-1	8.477516767E-1
8.100000000E-1	8.308250598E-1	5.326540147E-1	8.200854668E-1
8.200000000E-1	8.385153704E-1	5.349501611E-1	7.534334610E-1
8.300000000E-1	8.453404163E-1	5.366999036E-1	7.181602890E-1
8.400000000E-1	8.523863255E-1	5.386782016E-1	6.893006290E-1
8.500000000E-1	8.586310625E-1	5.403622616E-1	6.908133364E-1
8.600000000E-1	8.656366252E-1	5.425921232E-1	7.265471274E-1
8.700000000E-1	8.725028504E-1	5.446891304E-1	6.672138578E-1
8.800000000E-1	8.784358092E-1	5.463671230E-1	6.296150467E-1
8.900000000E-1	8.847046303E-1	5.478008197E-1	6.756148509E-1
9.000000000E-1	8.916101617E-1	5.493702223E-1	6.530886660E-1
9.100000000E-1	8.973991328E-1	5.508764544E-1	6.072851103E-1
9.200000000E-1	9.034233934E-1	5.521925685E-1	5.964652210E-1
9.300000000E-1	9.090661010E-1	5.533644569E-1	5.756565396E-1
9.400000000E-1	9.146827417E-1	5.545965771E-1	5.731097304E-1
9.500000000E-1	9.202832292E-1	5.557219851E-1	5.631669471E-1
9.600000000E-1	9.257034094E-1	5.569220205E-1	5.456819208E-1
9.700000000E-1	9.309213551E-1	5.581587413E-1	5.697261030E-1
9.800000000E-1	9.368340201E-1	5.593601837E-1	5.817884665E-1
9.900000000E-1	9.423466316E-1	5.603619631E-1	4.862392625E-1
1.000000000E0	9.464420131E-1	5.608628208E-1	4.628452222E-1
1.010000000E0	9.514895335E-1	5.618102809E-1	5.148490886E-1
1.020000000E0	9.565365473E-1	5.628946213E-1	5.037494208E-1
1.030000000E0	9.613246884E-1	5.639954855E-1	4.798678290E-1
1.040000000E0	9.660309868E-1	5.642963603E-1	4.765760317E-1
1.050000000E0	9.708140844E-1	5.648906110E-1	4.368751002E-1
1.060000000E0	9.747008808E-1	5.653812010E-1	3.837666464E-1
1.070000000E0	9.784574102E-1	5.655908298E-1	4.042407426E-1
1.080000000E0	9.827169976E-1	5.664329148E-1	3.913758058E-1
1.090000000E0	9.862207258E-1	5.665912989E-1	4.154848601E-1
1.100000000E0	9.909633035E-1	5.674573695E-1	4.156214657E-1
1.110000000E0	9.944552471E-1	5.677267018E-1	3.666801612E-1
1.120000000E0	9.982833395E-1	5.679032495E-1	4.293047851E-1
1.130000000E0	1.003020402E0	5.683259961E-1	4.073342556E-1
1.140000000E0	1.006386568E0	5.687435824E-1	3.355814739E-1
1.150000000E0	1.009711627E0	5.688489558E-1	4.193452262E-1
1.160000000E0	1.014747012E0	5.694092755E-1	4.073378974E-1
1.170000000E0	1.017793071E0	5.698784813E-1	3.156195005E-1
1.180000000E0	1.021043286E0	5.698600573E-1	3.343053694E-1
1.190000000E0	1.024478985E0	5.698276409E-1	3.514813548E-1
1.200000000E0	1.028072739E0	5.698105569E-1	3.304657356E-1
1.210000000E0	1.031088100E0	5.697762055E-1	3.202941568E-1
1.220000000E0	1.034478562E0	5.698383214E-1	3.326657494E-1
1.230000000E0	1.037741017E0	5.698489739E-1	3.924346834E-1
1.240000000E0	1.042291278E0	5.705889566E-1	4.019529572E-1
1.250000000E0	1.045730398E0	5.707413059E-1	3.294743260E-1
1.260000000E0	1.048878990E0	5.707418832E-1	3.238392993E-1
1.270000000E0	1.052206548E0	5.708320664E-1	3.283417496E-1
1.280000000E0	1.055445762E0	5.707706064E-1	3.429603905E-1
1.290000000E0	1.059065094E0	5.707367517E-1	3.423108946E-1
1.300000000E0	1.062290659E0	5.706361047E-1	3.345731578E-1
1.310000000E0	1.065756334E0	5.706820654E-1	3.406855884E-1
1.320000000E0	1.069098652E0	5.709152010E-1	3.205938750E-1
1.330000000E0	1.072165709E0	5.705029467E-1	3.170085659E-1
1.340000000E0	1.075423706E0	5.704776295E-1	3.223213121E-1
1.350000000E0	1.078611046E0	5.703844852E-1	3.260524480E-1
1.360000000E0	1.081944248E0	5.705588831E-1	3.285078485E-1
1.370000000E0	1.085181184E0	5.703686029E-1	3.342613776E-1
1.380000000E0	1.088623095E0	5.702668682E-1	3.184256380E-1
1.390000000E0	1.091546152E0	5.701561518E-1	3.279115283E-1
1.400000000E0	1.095179455E0	5.701102399E-1	3.269520143E-1
1.410000000E0	1.098084072E0	5.700350764E-1	3.127888146E-1
1.420000000E0	1.101430957E0	5.698790294E-1	3.275276855E-1
1.430000000E0	1.104627934E0	5.697390717E-1	3.268806750E-1
1.440000000E0	1.107968204E0	5.698097571E-1	3.329598721E-1
1.450000000E0	1.111286718E0	5.698132414E-1	3.506942055E-1
1.460000000E0	1.114976944E0	5.695411918E-1	3.457882783E-1
1.470000000E0	1.118199893E0	5.696239624E-1	3.377340946E-1
1.480000000E0	1.121731592E0	5.695627790E-1	3.551732821E-1
1.490000000E0	1.125291357E0	5.692112132E-1	3.610868858E-1
1.500000000E0	1.128949752E0	5.693354871E-1	3.606820635E-1
1.510000000E0	1.132500972E0	5.694521874E-1	3.696162137E-1
1.520000000E0	1.136340783E0	5.694737367E-1	3.814630506E-1
1.530000000E0	1.140130036E0	5.693972496E-1	2.884817356E-1
1.540000000E0	1.141972775E0	5.682209976E-1	3.029366110E-1
1.550000000E0	1.146071964E0	5.682133052E-1	4.220041843E-1
1.560000000E0	1.150408320E0	5.679442693E-1	3.527927426E-1
1.570000000E0	1.152985703E0	5.668043002E-1	3.333114037E-1
1.580000000E0	1.156951562E0	5.666696787E-1	4.273637840E-1
1.590000000E0	1.161531032E0	5.666218539E-1	4.406597638E-1
1.600000000E0	1.165762916E0	5.664895035E-1	3.442020057E-1
1.610000000E0	1.168322567E0	5.654971066E-1	3.496545354E-1
1.620000000E0	1.172634953E0	5.651939629E-1	4.492865998E-1
1.630000000E0	1.177299363E0	5.650964607E-1	4.561639284E-1
1.640000000E0	1.181742515E0	5.646586833E-1	3.892078932E-1
1.650000000E0	1.185002519E0	5.639764185E-1	4.044853048E-1
1.660000000E0	1.189770506E0	5.636613385E-1	4.175239435E-1
1.670000000E0	1.193206687E0	5.624200993E-1	4.239971404E-1
1.680000000E0	1.198085566E0	5.619972411E-1	4.398031740E-1
1.690000000E0	1.201898576E0	5.610703579E-1	4.479916344E-1
1.700000000E0	1.206963639E0	5.607895924E-1	4.624727765E-1
1.710000000E0	1.211038190E0	5.596491341E-1	4.684429096E-1
1.720000000E0	1.216158004E0	5.589898278E-1	4.552149512E-1
1.730000000E0	1.220036212E0	5.582620984E-1	4.868771098E-1
1.740000000E0	1.225838927E0	5.579412709E-1	5.206485790E-1
1.750000000E0	1.230329882E0	5.566903723E-1	4.785705851E-1
1.760000000E0	1.235095005E0	5.555046879E-1	4.848674986E-1
1.770000000E0	1.239698830E0	5.541880889E-1	5.155037922E-1
1.780000000E0	1.245033469E0	5.527615893E-1	5.523660563E-1
1.790000000E0	1.250363699E0	5.513064464E-1	5.537813204E-1
1.800000000E0	1.255738760E0	5.499214740E-1	5.835506378E-1
1.810000000E0	1.261717876E0	5.486054842E-1	6.129670722E-1
1.820000000E0	1.267662247E0	5.470715808E-1	6.203051509E-1
1.830000000E0	1.273719832E0	5.454647100E-1	5.869491699E-1
1.840000000E0	1.278727524E0	5.431519654E-1	6.231895609E-1
1.850000000E0	1.285466682E0	5.412984664E-1	6.621132522E-1
1.860000000E0	1.291347534E0	5.391403668E-1	6.752803825E-1
1.870000000E0	1.298386236E0	5.373631680E-1	7.080662146E-1
1.880000000E0	1.304895201E0	5.350167955E-1	6.701216645E-1
1.890000000E0	1.310859140E0	5.324588952E-1	6.860031438E-1
1.900000000E0	1.317509081E0	5.296195607E-1	7.494510263E-1
1.910000000E0	1.324733745E0	5.267873820E-1	7.843344960E-1
1.920000000E0	1.332195958E0	5.241088521E-1	7.713378277E-1
1.930000000E0	1.338983842E0	5.208781055E-1	7.800701826E-1
1.940000000E0	1.346440153E0	5.177443663E-1	8.049273906E-1
1.950000000E0	1.353721644E0	5.144004182E-1	0.000000000E0
