mass_A
t	x	y
0.000000000E0	3.008537492E-2	6.061712457E-1
1.000000000E-2	3.502425176E-2	6.019749775E-1
2.000000000E-2	4.013264790E-2	5.980648576E-1
3.000000000E-2	4.573048074E-2	5.941289197E-1
4.000000000E-2	5.087653067E-2	5.901746809E-1
5.000000000E-2	5.629258647E-2	5.859904319E-1
6.000000000E-2	6.212883354E-2	5.820972511E-1
7.000000000E-2	6.992228536E-2	5.772070011E-1
8.000000000E-2	7.743397982E-2	5.723911799E-1
9.000000000E-2	8.472635262E-2	5.678408605E-1
1.000000000E-1	9.275466760E-2	5.627121631E-1
1.100000000E-1	9.742691606E-2	5.584836199E-1
1.200000000E-1	1.060317465E-1	5.534243524E-1
1.300000000E-1	1.155209827E-1	5.482413505E-1
1.400000000E-1	1.254946860E-1	5.429981449E-1
1.500000000E-1	1.352486899E-1	5.376689371E-1
1.600000000E-1	1.457136358E-1	5.324582171E-1
1.700000000E-1	1.558711325E-1	5.273934605E-1
1.800000000E-1	1.667064418E-1	5.225472340E-1
1.900000000E-1	1.762146391E-1	5.174372302E-1
2.000000000E-1	1.871035308E-1	5.128878263E-1
2.100000000E-1	1.969183811E-1	5.086484731E-1
2.200000000E-1	2.071158481E-1	5.043286588E-1
2.300000000E-1	2.220354812E-1	4.990109666E-1
2.400000000E-1	2.334868945E-1	4.946441659E-1
2.500000000E-1	2.459468497E-1	4.901100947E-1
2.600000000E-1	2.577949151E-1	4.859207519E-1
2.700000000E-1	2.703693685E-1	4.820498561E-1
2.800000000E-1	2.826849322E-1	4.779617583E-1
2.900000000E-1	2.936603404E-1	4.749013695E-1
3.000000000E-1	3.072792496E-1	4.712178212E-1
3.100000000E-1	3.192264231E-1	4.685727375E-1
3.200000000E-1	3.314839634E-1	4.655315354E-1
3.300000000E-1	3.444597457E-1	4.629848316E-1
3.400000000E-1	3.579051070E-1	4.602712179E-1
3.500000000E-1	3.704864124E-1	4.583384240E-1
3.600000000E-1	3.833398258E-1	4.561173408E-1
3.700000000E-1	3.939341836E-1	4.543348919E-1
3.800000000E-1	4.135573269E-1	4.525255584E-1
3.900000000E-1	4.217581608E-1	4.501787396E-1
4.000000000E-1	4.347020248E-1	4.490313894E-1
4.100000000E-1	4.473636319E-1	4.476979138E-1
