mass_A
t	x	y
5.500000000E-1	4.953234622E-1	4.692859811E-1
5.600000000E-1	5.083853191E-1	4.693502511E-1
5.700000000E-1	5.214959992E-1	4.694100351E-1
5.400000000E-1	4.846232914E-1	4.695578961E-1
5.800000000E-1	5.332879657E-1	4.703415961E-1
5.300000000E-1	4.699632294E-1	4.705378287E-1
5.900000000E-1	5.463530136E-1	4.707643585E-1
6.000000000E-1	5.582788468E-1	4.717395623E-1
5.200000000E-1	4.572691678E-1	4.718151133E-1
6.100000000E-1	5.708084381E-1	4.730104399E-1
5.100000000E-1	4.452914048E-1	4.730451854E-1
6.200000000E-1	5.802749121E-1	4.744187452E-1
5.000000000E-1	4.298985551E-1	4.753921022E-1
6.300000000E-1	5.952438343E-1	4.765530620E-1
4.900000000E-1	4.218272294E-1	4.765692121E-1
6.400000000E-1	6.051277578E-1	4.789849712E-1
4.800000000E-1	4.070486898E-1	4.790557445E-1
4.700000000E-1	3.944311634E-1	4.813105853E-1
6.500000000E-1	6.170511261E-1	4.813575589E-1
6.600000000E-1	6.286640747E-1	4.838203982E-1
4.600000000E-1	3.801479957E-1	4.838529465E-1
4.500000000E-1	3.681625777E-1	4.862741997E-1
6.700000000E-1	6.390684456E-1	4.865748680E-1
4.400000000E-1	3.563982603E-1	4.886147307E-1
6.800000000E-1	6.505772727E-1	4.896803876E-1
4.300000000E-1	3.450146652E-1	4.910579949E-1
6.900000000E-1	6.604190983E-1	4.924603462E-1
4.200000000E-1	3.343803439E-1	4.935662501E-1
7.000000000E-1	6.716894909E-1	4.957857402E-1
4.100000000E-1	3.205873034E-1	4.970955743E-1
7.100000000E-1	6.814379070E-1	4.985298080E-1
4.000000000E-1	3.115154420E-1	4.995467388E-1
7.200000000E-1	6.915231140E-1	5.016720323E-1
3.900000000E-1	2.972285725E-1	5.031675895E-1
7.300000000E-1	7.004662963E-1	5.046327791E-1
3.800000000E-1	2.852530175E-1	5.068260421E-1
7.400000000E-1	7.104391673E-1	5.080616984E-1
3.700000000E-1	2.766681295E-1	5.092409475E-1
7.500000000E-1	7.199269044E-1	5.113327088E-1
3.600000000E-1	2.642462241E-1	5.128572589E-1
7.600000000E-1	7.287657700E-1	5.144210859E-1
3.500000000E-1	2.527751137E-1	5.165705333E-1
7.700000000E-1	7.375526659E-1	5.174377182E-1
7.800000000E-1	7.453369953E-1	5.201023921E-1
3.400000000E-1	2.426240536E-1	5.202445648E-1
7.900000000E-1	7.546821489E-1	5.234166211E-1
3.300000000E-1	2.299556847E-1	5.247896681E-1
8.000000000E-1	7.638488095E-1	5.261218811E-1
8.100000000E-1	7.700739970E-1	5.285070302E-1
3.200000000E-1	2.213871706E-1	5.286167880E-1
8.200000000E-1	7.757597186E-1	5.308803813E-1
3.100000000E-1	2.089759527E-1	5.333739298E-1
8.300000000E-1	7.927892089E-1	5.356216978E-1
8.400000000E-1	7.924558598E-1	5.358449703E-1
8.500000000E-1	7.995498982E-1	5.380762420E-1
3.000000000E-1	1.982624525E-1	5.382037636E-1
8.600000000E-1	8.068728381E-1	5.409501754E-1
8.700000000E-1	8.141024108E-1	5.428939072E-1
2.900000000E-1	1.873467872E-1	5.430580833E-1
8.800000000E-1	8.234119954E-1	5.452306924E-1
2.030000000E0	1.227234983E0	5.460904107E-1
8.900000000E-1	8.315309695E-1	5.475066133E-1
2.800000000E-1	1.773515021E-1	5.478383626E-1
9.000000000E-1	8.410182006E-1	5.500580626E-1
2.020000000E0	1.235099284E0	5.502284145E-1
9.100000000E-1	8.454491976E-1	5.511984073E-1
2.010000000E0	1.229063294E0	5.515712743E-1
2.700000000E-1	1.677492660E-1	5.526706063E-1
9.200000000E-1	8.545780433E-1	5.535812799E-1
2.000000000E0	1.224497160E0	5.536602037E-1
9.300000000E-1	8.598196731E-1	5.548892868E-1
1.990000000E0	1.219556472E0	5.549784220E-1
9.400000000E-1	8.645363015E-1	5.560536872E-1
1.980000000E0	1.214008613E0	5.564311739E-1
9.500000000E-1	8.701989656E-1	5.572497036E-1
1.970000000E0	1.208930590E0	5.573717497E-1
2.600000000E-1	1.583988847E-1	5.575339145E-1
9.600000000E-1	8.753509254E-1	5.585323152E-1
1.960000000E0	1.203931941E0	5.587147574E-1
9.700000000E-1	8.807936652E-1	5.597043758E-1
9.800000000E-1	8.865203727E-1	5.609655283E-1
1.950000000E0	1.201040814E0	5.611164107E-1
2.500000000E-1	1.492181096E-1	5.621782505E-1
9.900000000E-1	8.923888615E-1	5.621936524E-1
1.940000000E0	1.196887269E0	5.625143608E-1
1.920000000E0	1.171513815E0	5.626503508E-1
1.910000000E0	1.170309273E0	5.627094582E-1
1.000000000E0	8.980423019E-1	5.633942772E-1
1.900000000E0	1.166558682E0	5.636844901E-1
1.930000000E0	1.193364033E0	5.643328976E-1
1.010000000E0	9.046948313E-1	5.645833551E-1
1.020000000E0	9.071803624E-1	5.646425906E-1
1.890000000E0	1.161891047E0	5.647634078E-1
1.880000000E0	1.159239609E0	5.651853472E-1
1.030000000E0	9.134377263E-1	5.657696839E-1
1.870000000E0	1.155217118E0	5.661754551E-1
1.040000000E0	9.190109439E-1	5.669754793E-1
2.400000000E-1	1.396251776E-1	5.670025256E-1
1.860000000E0	1.151235336E0	5.671625416E-1
1.850000000E0	1.148481692E0	5.675631830E-1
1.050000000E0	9.253151697E-1	5.681461399E-1
1.840000000E0	1.144212282E0	5.683276206E-1
1.060000000E0	9.276175087E-1	5.683550259E-1
1.830000000E0	1.141334584E0	5.690495381E-1
1.070000000E0	9.329369176E-1	5.693721479E-1
1.080000000E0	9.351345965E-1	5.694562965E-1
1.820000000E0	1.137439820E0	5.695572091E-1
1.810000000E0	1.133767870E0	5.704800945E-1
1.090000000E0	9.399395075E-1	5.705114759E-1
1.100000000E0	9.424114840E-1	5.705251128E-1
1.800000000E0	1.132372960E0	5.710332197E-1
1.110000000E0	9.470110872E-1	5.715802690E-1
1.790000000E0	1.128647719E0	5.716827448E-1
1.120000000E0	9.498359132E-1	5.717593010E-1
2.300000000E-1	1.315956293E-1	5.719736635E-1
1.780000000E0	1.125697382E0	5.720792098E-1
1.770000000E0	1.123065976E0	5.725772214E-1
1.130000000E0	9.561538715E-1	5.729261801E-1
1.140000000E0	9.585274883E-1	5.729314252E-1
1.150000000E0	9.617979314E-1	5.730640995E-1
1.160000000E0	9.641762692E-1	5.731387131E-1
1.760000000E0	1.119844703E0	5.731623531E-1
1.750000000E0	1.116420370E0	5.732672146E-1
1.740000000E0	1.113237765E0	5.735810014E-1
1.730000000E0	1.110403532E0	5.740203215E-1
1.170000000E0	9.688976811E-1	5.740593159E-1
1.190000000E0	9.738750629E-1	5.741870305E-1
1.180000000E0	9.718506978E-1	5.742918215E-1
1.720000000E0	1.107449488E0	5.743547570E-1
1.710000000E0	1.105120395E0	5.746963229E-1
1.700000000E0	1.102122899E0	5.753272213E-1
1.690000000E0	1.099889832E0	5.754490848E-1
1.200000000E0	9.780117610E-1	5.754807744E-1
1.680000000E0	1.097258890E0	5.755592506E-1
1.670000000E0	1.094515974E0	5.757321997E-1
1.210000000E0	9.804709218E-1	5.758636814E-1
1.220000000E0	9.811527862E-1	5.759714057E-1
1.660000000E0	1.092104605E0	5.759823626E-1
1.630000000E0	1.084686960E0	5.764799497E-1
1.650000000E0	1.089494693E0	5.765285328E-1
1.620000000E0	1.082117994E0	5.765630918E-1
1.640000000E0	1.087007120E0	5.766830596E-1
1.260000000E0	9.972204719E-1	5.767198763E-1
2.200000000E-1	1.228612903E-1	5.767262884E-1
1.610000000E0	1.079446130E0	5.767365407E-1
1.290000000E0	1.004761606E0	5.767673900E-1
1.600000000E0	1.076784570E0	5.767811029E-1
1.310000000E0	1.010133900E0	5.767899314E-1
1.590000000E0	1.074290512E0	5.768203403E-1
1.300000000E0	1.007416843E0	5.768232558E-1
1.280000000E0	1.002415767E0	5.768269745E-1
1.270000000E0	9.995063561E-1	5.768484222E-1
1.250000000E0	9.939394223E-1	5.769191861E-1
1.230000000E0	9.894155676E-1	5.769276884E-1
1.580000000E0	1.071928699E0	5.769284451E-1
1.380000000E0	1.028968837E0	5.769546125E-1
1.320000000E0	1.012841269E0	5.769749548E-1
1.570000000E0	1.069658914E0	5.769765812E-1
1.240000000E0	9.915060474E-1	5.769802292E-1
1.340000000E0	1.018331177E0	5.769868915E-1
1.370000000E0	1.025310175E0	5.769936667E-1
1.330000000E0	1.015460197E0	5.770003141E-1
1.360000000E0	1.022863003E0	5.770156612E-1
1.350000000E0	1.020872285E0	5.770769995E-1
1.560000000E0	1.067167737E0	5.773179339E-1
1.540000000E0	1.062275960E0	5.776151219E-1
1.550000000E0	1.064774938E0	5.777001940E-1
1.530000000E0	1.059886268E0	5.778430188E-1
1.520000000E0	1.057720228E0	5.778857323E-1
1.480000000E0	1.050018634E0	5.779226700E-1
1.510000000E0	1.055493055E0	5.779240315E-1
1.430000000E0	1.038325434E0	5.779648046E-1
1.420000000E0	1.035855626E0	5.779713122E-1
1.400000000E0	1.031036054E0	5.779750786E-1
1.410000000E0	1.033403781E0	5.779775568E-1
1.470000000E0	1.047671987E0	5.779842326E-1
1.460000000E0	1.045460024E0	5.779894346E-1
1.450000000E0	1.042904416E0	5.780028987E-1
1.490000000E0	1.050521127E0	5.780439866E-1
1.500000000E0	1.053487928E0	5.780701933E-1
1.440000000E0	1.040582314E0	5.780750270E-1
1.390000000E0	1.028753101E0	5.781079343E-1
2.100000000E-1	1.149933902E-1	5.816413565E-1
2.000000000E-1	1.070147849E-1	5.863395226E-1
